episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-42.386,3.0,0.784,3,0,0,3,0.062,True,1,16,(3 5),(0 3),100.0,5.06114303597025,16.0,0
2,-46.879,2.0,0.676,1,0,0,4,0.104,True,2,32,(5 1),(3 2),100.0,5.24524575211054,24.0,1
3,-36.686,3.0,0.649,5,0,0,9,0.119,True,3,11,(1 4),(1 1),100.0,5.057630127258425,19.666666666666668,1
4,-28.868,2.5,0.696,1,0,0,10,0.125,True,4,5,(7 5),(5 6),100.0,4.512510403358992,16.0,1
5,-83.186,3.2,0.995,6,0,0,16,0.533,False,4,101,(1 6),(0 8),80.0,5.13074951163491,33.0,2
6,-87.223,3.5,0.89,5,0,0,21,0.5,True,5,39,(0 8),(5 1),83.333,5.014610404710319,34.0,5
7,-78.729,3.286,0.875,2,0,0,23,0.484,True,6,17,(2 1),(6 2),85.714,5.0671530453114,31.571428571428573,5
8,-76.344,3.375,0.834,4,0,0,27,0.463,True,7,21,(7 5),(2 3),87.5,4.917705021600952,30.25,6
9,-69.063,3.222,0.837,2,0,0,29,0.46,True,8,6,(4 3),(5 6),88.889,5.2061652747229035,27.555555555555557,6
10,-109.48,2.9,0.857,0,0,0,29,0.384,False,8,101,(2 1),(0 5),80.0,5.044171802437461,34.9,6
11,-101.514,2.636,0.855,0,0,3.625,29,0.395,True,9,8,(2 6),(4 0),81.818,5.19699456204462,32.45454545454545,6
12,-98.669,2.75,0.826,4,0,4.125,33,0.402,True,10,26,(2 3),(2 7),83.333,4.8587705070714415,31.916666666666668,8
13,-102.445,2.846,0.818,4,0,4.625,37,0.4,True,11,34,(8 4),(0 8),84.615,4.860663845943754,32.07692307692308,9
14,-95.934,2.643,0.821,0,0,2.312,37,0.398,True,12,8,(3 0),(5 2),85.714,5.167304385101369,30.357142857142858,9
15,-91.022,2.467,0.813,0,0,1.276,37,0.402,True,13,13,(2 0),(5 2),86.667,5.111874368815025,29.2,9
16,-95.243,2.438,0.786,2,0,1.345,39,0.414,True,14,65,(1 8),(0 1),87.5,5.080051137101699,31.4375,9
17,-92.486,2.294,0.784,0,0,0.867,39,0.403,True,15,16,(6 8),(8 2),88.235,4.939646874110723,30.529411764705884,9
18,-87.403,2.222,0.789,1,0,0.889,40,0.403,True,16,2,(6 2),(7 1),88.889,5.039507180822363,28.944444444444443,10
19,-87.026,2.211,0.76,2,0,0.933,42,0.403,True,17,38,(0 6),(4 8),89.474,5.055015461063206,29.42105263157895,10
