episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-101.686,0.0,0.171,0,0,0,0,0.043,True,1,23,(0 2),(4 7),100.0,14.581998503198202,23.0,0
2,-63.95,0.0,0.238,0,0,0,0,0.094,True,2,9,(2 8),(7 4),100.0,77.32713769788363,16.0,0
3,-53.26,0.667,0.275,2,0,0.062,2,0.111,True,3,13,(6 5),(2 2),100.0,156.55654905622546,15.0,2
4,-39.945,0.5,0.308,0,0,0.061,2,0.109,True,4,1,(1 3),(0 3),100.0,0.012502789472897529,11.5,2
5,-48.143,0.6,0.263,1,0,0.091,3,0.077,True,5,19,(2 8),(3 0),100.0,57.720621677817036,13.0,3
6,-40.119,0.5,0.272,0,0,0.088,3,0.076,True,6,1,(1 3),(0 3),100.0,0.012259430775458813,11.0,3
7,-43.067,0.571,0.255,1,0,0.118,4,0.077,True,7,25,(7 3),(0 4),100.0,52.33141686677879,13.0,3
8,-40.742,0.5,0.275,0,0,0.095,4,0.081,True,8,8,(0 6),(7 5),100.0,124.08761413409769,12.375,3
9,-54.271,0.444,0.303,0,0,0.043,4,0.167,True,9,51,(1 6),(4 0),100.0,170.93484834268986,16.666666666666668,3
10,-52.295,0.5,0.328,1,0,0.054,5,0.179,True,10,12,(3 6),(1 0),100.0,227.22414090509903,16.2,4
11,-54.051,0.727,0.386,3,0,0.086,8,0.167,True,11,24,(1 8),(0 5),100.0,108.019441808546,16.90909090909091,6
12,-58.616,0.667,0.326,0,0,0.055,8,0.139,True,12,52,(0 5),(4 3),100.0,26.769287305319686,19.833333333333332,6
13,-58.882,0.615,0.362,0,0,0.045,8,0.122,True,13,33,(7 6),(8 2),100.0,0.011786470540074555,20.846153846153847,6
14,-55.656,0.786,0.354,3,0,0.062,11,0.121,True,14,10,(6 8),(4 6),100.0,94.31149957966237,20.071428571428573,6
15,-51.945,0.733,0.36,0,0,0.061,11,0.121,True,15,1,(7 4),(7 5),100.0,0.011570370303734296,18.8,6
16,-49.074,0.688,0.366,0,0,0.06,11,0.119,True,16,4,(1 1),(4 0),100.0,317.3922581014432,17.875,6
17,-48.822,0.647,0.361,0,0,0.056,11,0.13,True,17,15,(8 5),(2 0),100.0,224.59552117191396,17.705882352941178,6
18,-47.474,0.611,0.356,0,0,0.053,11,0.135,True,18,9,(1 8),(5 5),100.0,186.4411038552056,17.22222222222222,6
19,-51.509,0.579,0.344,0,0,0.046,11,0.157,True,19,34,(6 8),(3 1),100.0,201.86660872035992,18.105263157894736,6
20,-49.933,0.55,0.347,0,0,0.044,11,0.153,True,20,10,(8 3),(6 7),100.0,0.011345350530148948,17.7,6
21,-49.251,0.667,0.373,3,0,0.056,14,0.155,True,21,14,(5 0),(0 3),100.0,321.4130139270629,17.523809523809526,8
22,-55.21,0.682,0.348,1,0,0.06,15,0.143,True,22,46,(2 5),(3 0),100.0,24.17704042700039,18.818181818181817,8
23,-53.019,0.652,0.349,0,0,0.059,15,0.141,True,23,5,(3 1),(5 2),100.0,192.58922274544437,18.217391304347824,8
24,-51.06,0.625,0.347,0,0,0.058,15,0.144,True,24,4,(3 5),(0 6),100.0,149.05532545264782,17.625,8
25,-49.227,0.6,0.349,0,0,0.057,15,0.145,True,25,4,(6 2),(5 5),100.0,75.26321368906409,17.08,8
26,-57.327,0.692,0.484,3,0,0.068,18,0.211,True,26,75,(5 3),(0 2),100.0,393.4185662064671,19.307692307692307,9
27,-58.049,0.667,0.483,0,0,0.061,18,0.2,True,27,32,(8 5),(0 5),100.0,13.192226628785944,19.77777777777778,9
28,-57.443,0.679,0.476,1,0,0.064,19,0.203,True,28,19,(1 1),(4 3),100.0,284.90721021482705,19.75,9
29,-56.586,0.655,0.473,0,0,0.062,19,0.209,True,29,12,(7 3),(1 0),100.0,268.7854198181455,19.482758620689655,9
30,-55.069,0.667,0.471,1,0,0.065,20,0.208,True,30,6,(0 7),(4 5),100.0,66.26547661188036,19.033333333333335,9
31,-54.753,0.677,0.465,1,0,0.068,21,0.207,True,31,14,(7 8),(5 0),100.0,141.60905622106333,18.870967741935484,10
32,-55.039,0.656,0.455,0,0,0.064,21,0.206,True,32,18,(2 8),(7 1),100.0,73.50604837169868,18.84375,10
33,-60.953,0.697,0.559,2,0,0.071,23,0.216,True,33,36,(0 0),(6 7),100.0,363.19908249836897,19.363636363636363,12
34,-59.587,0.676,0.565,0,0,0.068,23,0.224,True,34,13,(0 0),(1 1),100.0,509.0657661690721,19.176470588235293,12
35,-58.93,0.657,0.557,0,0,0.063,23,0.246,True,35,28,(2 0),(4 1),100.0,450.50235467342776,19.428571428571427,12
36,-59.056,0.667,0.543,1,0,0.065,24,0.237,True,36,38,(0 7),(6 5),100.0,62.105617269416854,19.944444444444443,12
37,-58.337,0.649,0.538,0,0,0.063,24,0.235,True,37,13,(3 4),(5 3),100.0,33.66492315895311,19.756756756756758,12
38,-62.624,0.632,0.532,0,0,0.056,24,0.257,True,38,48,(7 4),(0 7),100.0,242.63670947744913,20.5,12
39,-61.342,0.615,0.53,0,0,0.055,24,0.254,True,39,7,(7 8),(7 5),100.0,153.84964109465886,20.153846153846153,12
40,-60.279,0.625,0.534,1,0,0.057,25,0.254,True,40,10,(3 6),(7 8),100.0,181.06105095261174,19.9,13
41,-59.45,0.61,0.53,0,0,0.056,25,0.255,True,41,11,(5 0),(3 5),100.0,234.83844195036065,19.682926829268293,13
42,-58.25,0.595,0.531,0,0,0.055,25,0.254,True,42,7,(6 3),(5 5),100.0,50.05573061213158,19.38095238095238,13
43,-57.313,0.581,0.528,0,0,0.054,25,0.255,True,43,11,(3 7),(5 4),100.0,109.82728640834449,19.186046511627907,13
44,-58.085,0.568,0.543,0,0,0.05,25,0.251,True,44,37,(1 8),(1 6),100.0,113.80462908884736,19.59090909090909,13
45,-57.632,0.556,0.545,0,0,0.049,25,0.252,True,45,11,(2 0),(2 5),100.0,282.1356972444032,19.4,13
46,-57.108,0.543,0.557,0,0,0.048,25,0.25,True,46,12,(8 8),(2 8),100.0,61.12616725365402,19.23913043478261,13
47,-59.006,0.532,0.545,0,0,0.045,25,0.243,True,47,30,(0 2),(7 1),100.0,7.835811172076593,19.46808510638298,13
48,-58.435,0.521,0.538,0,0,0.043,25,0.248,True,48,24,(6 0),(5 2),100.0,267.5295053133156,19.5625,13
49,-57.758,0.51,0.537,0,0,0.042,25,0.25,True,49,13,(6 1),(1 3),100.0,147.86188193864075,19.428571428571427,13
50,-58.497,0.52,0.539,1,0,0.044,26,0.254,True,50,25,(6 7),(1 0),100.0,333.2092531959063,19.54,14
