episode,mean_reward,mean_cost,reward_approximation_mse,observed_cost,approximated_cost,observed_cost_rate,total_cost,absolute_cost_prediction_error,task_completed,number_of_tasks_completed,steps,starting_location,goal_location,task_success_rate,safe_actions_mean_uncertainty,mean_episode_steps,number_successful_corrective_updates
1,-11.418,1.0,0.864,1,0,0,1,0.0,True,1,6,(8 1),(5 4),100.0,110.90620014885303,6.0,0
2,-29.204,0.5,0.516,0,0,0.056,1,0.042,True,2,18,(6 1),(2 5),100.0,150.5481482884386,12.0,0
3,-21.884,0.667,0.516,1,0,0.111,2,0.065,True,3,7,(3 5),(1 6),100.0,669.9160469127179,10.333333333333334,1
4,-25.702,0.5,0.524,0,0,0.065,2,0.045,True,4,13,(4 1),(3 7),100.0,148.32576657248165,11.0,1
5,-21.492,0.6,0.524,1,0,0.097,3,0.042,True,5,4,(2 5),(1 4),100.0,83.65181947066715,9.6,1
6,-18.076,0.5,0.567,0,0,0.091,3,0.04,True,6,2,(5 6),(4 5),100.0,0.010039273101634003,8.333333333333334,1
7,-17.874,0.571,0.556,1,0,0.121,4,0.051,True,7,9,(2 3),(2 6),100.0,37.46577057302415,8.428571428571429,2
8,-18.99,0.5,0.535,0,0,0.095,4,0.059,True,8,9,(2 6),(7 2),100.0,176.74546715326068,8.5,2
9,-18.784,0.556,0.519,1,0,0.119,5,0.062,True,9,13,(4 5),(7 3),100.0,112.43932288853125,9.0,2
10,-18.271,0.5,0.55,0,0,0.093,5,0.054,True,10,12,(4 8),(5 7),100.0,71.7652064898294,9.3,2
11,-18.594,0.455,0.567,0,0,0.077,5,0.067,True,11,11,(7 2),(4 6),100.0,133.14116986296304,9.454545454545455,2
12,-19.691,0.5,0.562,1,0,0.092,6,0.059,True,12,14,(7 2),(5 6),100.0,101.12829614330009,9.833333333333334,3
13,-37.341,0.615,0.446,2,0,0.123,8,0.119,False,12,101,(6 0),(1 3),92.308,189.390140622453,16.846153846153847,4
14,-38.965,0.714,0.414,2,0,0.154,10,0.14,True,13,31,(3 7),(2 1),92.857,356.01064766688984,17.857142857142858,5
15,-52.146,0.667,0.36,0,0,0.154,10,0.125,False,13,101,(5 8),(1 3),86.667,110.8120328124456,23.4,5
16,-64.376,0.625,0.319,0,0,0.154,10,0.199,False,13,101,(8 1),(3 0),81.25,390.59582577516176,28.25,5
17,-73.908,0.588,0.479,0,0,0.071,10,0.178,True,14,75,(8 8),(8 2),82.353,99.9948952054905,31.0,5
18,-70.955,0.611,0.479,1,0,0.079,11,0.176,True,15,8,(0 4),(4 5),83.333,79.33667942581026,29.72222222222222,5
19,-71.62,0.579,0.475,0,0,0.057,11,0.178,True,16,54,(0 3),(1 4),84.211,177.06424107358023,31.0,5
20,-70.654,0.6,0.467,1,0,0.062,12,0.175,True,17,17,(2 8),(8 6),85.0,176.32259689240345,30.3,6
21,-70.153,0.571,0.467,0,0,0.057,12,0.173,True,18,17,(5 0),(4 6),85.714,165.43837673413975,29.666666666666668,6
22,-67.902,0.545,0.47,0,0,0.055,12,0.173,True,19,8,(6 1),(4 5),86.364,0.010834720510154605,28.681818181818183,6
23,-66.625,0.565,0.471,1,0,0.059,13,0.172,True,20,15,(7 2),(5 5),86.957,175.2578090931507,28.08695652173913,7
24,-73.655,0.542,0.433,0,0,0.059,13,0.151,False,20,101,(6 4),(1 2),83.333,11.973182373469056,31.125,7
25,-71.008,0.56,0.437,1,0,0.064,14,0.15,True,21,5,(2 1),(3 3),84.0,182.70440901656121,30.08,7
26,-76.395,0.577,0.399,1,0,0.068,15,0.2,False,21,101,(5 3),(3 0),80.769,463.8469803122945,32.80769230769231,8
27,-76.282,0.593,0.412,1,0,0.073,16,0.196,True,22,35,(2 3),(8 2),81.481,101.55210127896407,32.888888888888886,8
28,-75.163,0.607,0.411,1,0,0.078,17,0.192,True,23,12,(0 6),(5 6),82.143,138.53071554328463,32.142857142857146,8
29,-87.339,0.586,0.404,0,0,0.078,17,0.175,False,23,101,(2 3),(0 0),79.31,21.409606972382083,34.51724137931034,8
30,-84.959,0.567,0.408,0,0,0.075,17,0.175,True,24,7,(2 3),(3 7),80.0,95.29831533195593,33.6,8
31,-84.579,0.548,0.406,0,0,0.066,17,0.175,True,25,32,(5 8),(1 4),80.645,276.28337992766,33.54838709677419,8
32,-82.478,0.531,0.406,0,0,0.064,17,0.174,True,26,9,(3 3),(1 6),81.25,266.5387208078182,32.78125,8
33,-80.009,0.515,0.41,0,0,0.063,17,0.174,True,27,2,(3 7),(5 7),81.818,398.73297249492305,31.848484848484848,8
34,-77.81,0.5,0.414,0,0,0.062,17,0.174,True,28,4,(0 2),(3 3),82.353,524.7456137153222,31.029411764705884,8
35,-83.92,0.543,0.414,2,0,0.07,19,0.183,False,28,101,(0 5),(5 0),80.0,361.30919075544597,33.02857142857143,8
36,-88.027,0.528,0.402,0,0,0.07,19,0.169,False,28,101,(0 5),(1 2),77.778,19.364276747137378,34.916666666666664,8
37,-87.349,0.541,0.409,1,0,0.073,20,0.172,True,29,26,(3 7),(0 4),78.378,512.0562945343758,34.67567567567568,9
